Number of Iterations: 245
X Poses,Y Poses
Iteration 1,"[[1.3, 1.05, 1.05, 0.25, 0.45], [0.25, 0.3, -0.4, -0.35, 0.2]]"
Iteration 2,"[[1.3009059610646254, 1.0468854249634074, 1.049983434643496, 0.24344432063149882, 0.44555046553756117], [0.2529685823469646, 0.30342886345790376, -0.40504254610096335, -0.3500422271023933, 0.2020890348528698]]"
Iteration 3,"[[1.3017794136899132, 1.0438273052178537, 1.0499672014400938, 0.2368827321789932, 0.44119707590467877], [0.2557950603061658, 0.30696874335997487, -0.40983398734624243, -0.3500733080001605, 0.20418413011643952]]"
Iteration 4,"[[1.302613601614562, 1.040684401567602, 1.0499115710474896, 0.23031622591217973, 0.43693245698727334], [0.25846442803120573, 0.31050525306371485, -0.4144083390685711, -0.3500949014318903, 0.2062922223966655]]"
Iteration 5,"[[1.303401583796424, 1.037405803779731, 1.0498186919824215, 0.2237385082154832, 0.4327593476750957], [0.2609612420130596, 0.3140013518426148, -0.41881307748817753, -0.35010158048701057, 0.208438313291654]]"
Iteration 6,"[[1.3041566354618281, 1.033993398002852, 1.0496827713123638, 0.21715096889020774, 0.42866739080684907], [0.263330946699699, 0.31750215296113243, -0.4230192095343083, -0.3500960590099494, 0.21063983161675784]]"
Iteration 7,"[[1.304881839854502, 1.0304073292736518, 1.0495006037456336, 0.210557685579352, 0.4246370830855635], [0.26558604036184297, 0.3209943138966232, -0.4270344290194504, -0.35008346830295706, 0.21291021068246047]]"
Iteration 8,"[[1.3054179233331331, 1.0266210555953115, 1.0492954057805417, 0.203961202981604, 0.42064882419447164], [0.267735094759085, 0.32450988930758456, -0.43093547135476573, -0.3500603246031813, 0.215275297570203]]"
Iteration 9,"[[1.3058942092262884, 1.0225810984853387, 1.0491107113894902, 0.19737277100752343, 0.4166681800912475], [0.26986481334544976, 0.3280310119334482, -0.4346216148829602, -0.3500299931506764, 0.2177500400671749]]"
Iteration 10,"[[1.3063505359557925, 1.0187012012060932, 1.0489120622647543, 0.19079147491406367, 0.41259185009602234], [0.27189208448918467, 0.33154186609618647, -0.4381654844278031, -0.3499943388055107, 0.22016319010340155]]"
Iteration 11,"[[1.3067462061991268, 1.0149361910341321, 1.0486755861709005, 0.1842164804430069, 0.40840242305804536], [0.273782208251086, 0.3350936462724122, -0.4416206268015548, -0.34995503328978833, 0.22252175305133545]]"
Iteration 12,"[[1.3070867888344821, 1.0112632034401055, 1.0484555557469115, 0.1776531469451403, 0.40407778459323457], [0.2755843005344705, 0.33878288115907135, -0.4449678749586539, -0.3499077638753308, 0.22483945353775703]]"
Iteration 13,"[[1.307401296242028, 1.0076291117011358, 1.0481730202024118, 0.17109941200475498, 0.3995855270864158], [0.2772776897051567, 0.3424050852258901, -0.44819932372013976, -0.34985591385127734, 0.2271136176123037]]"
Iteration 14,"[[1.3076550130135067, 1.0040269191213003, 1.0478320656951854, 0.1645544560474898, 0.39488653599150125], [0.27889782587849055, 0.34579626837324373, -0.451303415871377, -0.34980143008533654, 0.22933500273388024]]"
Iteration 15,"[[1.3078483462385149, 1.000470998050458, 1.047454615019153, 0.15801806577861016, 0.39000398012347354], [0.2803946164181325, 0.34901128264146336, -0.4543479335202221, -0.3497455800597065, 0.2315024086172966]]"
Iteration 16,"[[1.3080313694972545, 0.9969594739909889, 1.0470554331226667, 0.1514894678492649, 0.38528329099535996], [0.2818283361969975, 0.3520952444722194, -0.4572692899434072, -0.3496901398861487, 0.2337203190026857]]"
Iteration 17,"[[1.308158566877097, 0.9934644875487749, 1.046587384908735, 0.14497707373713498, 0.3806573223976691], [0.28318390960892187, 0.35507033906073737, -0.4600888750574478, -0.3496279755795374, 0.23603861907438972]]"
Iteration 18,"[[1.3082392875947313, 0.9899474143606476, 1.0461149927770255, 0.13847564563813153, 0.37605056175734436], [0.28452462493310915, 0.3579369280363142, -0.4627720653565413, -0.34956605914212396, 0.23849205336136972]]"
Iteration 19,"[[1.3082699131659783, 0.9865560488510358, 1.0455647490742965, 0.13198798395860795, 0.3715387335878321], [0.2857730374453986, 0.3608697737912434, -0.46537807544345144, -0.34950298899041343, 0.24084186010538686]]"
Iteration 20,"[[1.3083255135795901, 0.9831949935807501, 1.044988018810341, 0.1255123347233913, 0.36715634870012137], [0.28690153089358467, 0.36382564347259594, -0.4679349432587703, -0.34944209640666074, 0.24301970980011545]]"
Iteration 21,"[[1.308338737905094, 0.9799009953860413, 1.0443554106192898, 0.1190470396143058, 0.36286831930362407], [0.28800905421744366, 0.366895126054277, -0.4703618099258909, -0.34938642324956587, 0.24506102210122954]]"
Iteration 22,"[[1.3083110694291127, 0.976662651696631, 1.0437453027101244, 0.11259811821709728, 0.3586544896695576], [0.2890785294247888, 0.37011609043979, -0.47271038626975165, -0.34933129026963006, 0.24700220532451206]]"
Iteration 23,"[[1.3082228733302579, 0.9733966009018804, 1.0430329280877277, 0.10615952655158113, 0.3544748784408012], [0.2900055097350391, 0.3733991044723392, -0.4750519787883476, -0.34928457682785585, 0.24884392524725754]]"
Iteration 24,"[[1.3081253896044978, 0.9701247691772816, 1.0422634444581986, 0.09974358314309588, 0.350338090129257], [0.29086136014971575, 0.3768108529158583, -0.4773199991031002, -0.34923526180695785, 0.2506451692721649]]"
Iteration 25,"[[1.308022414776934, 0.9668302195575968, 1.0414807784016327, 0.09334868090466492, 0.3463041479889112], [0.291659340034225, 0.3803476293619909, -0.47952122130549446, -0.3491875392119456, 0.2525846102954949]]"
Iteration 26,"[[1.307873773670495, 0.9634898804430488, 1.0406610238371246, 0.08697251934770794, 0.3423217814021556], [0.2923764570801859, 0.38397974032965576, -0.4816880106269733, -0.34914612620608043, 0.2546587575595292]]"
Iteration 27,"[[1.307632004173419, 0.9600902041559193, 1.0398049808538345, 0.08062187732315448, 0.3383575257589679], [0.2929968992921088, 0.3876865703350358, -0.483857063274775, -0.34910624757701164, 0.2568755052622]]"
Iteration 28,"[[1.307392762303811, 0.9566084183684159, 1.0388521991355375, 0.07429704888310946, 0.3343786740871089], [0.29357987291386245, 0.39140955626381074, -0.4859193106407053, -0.3490704379829004, 0.25921909452942604]]"
Iteration 29,"[[1.307151455089113, 0.9530536082373646, 1.0378728962331223, 0.06799589150103208, 0.3303620360588343], [0.2940864168181228, 0.3951773885086147, -0.487945542571231, -0.34904377749575305, 0.2616755415569016]]"
Iteration 30,"[[1.3068690693769314, 0.9494182289165346, 1.0367962398059536, 0.061729898684062735, 0.3262920280846738], [0.29454218373999125, 0.3989620941200279, -0.4899012524521322, -0.3490167621629348, 0.2642363181753732]]"
Iteration 31,"[[1.30655937345123, 0.945705152694481, 1.035739788328592, 0.05549343118291272, 0.32215630295377], [0.2949970757898663, 0.40277043550009084, -0.4917789884306445, -0.3489991442127862, 0.266884916209596]]"
Iteration 32,"[[1.3062541976043769, 0.9419066921612724, 1.0346359632850575, 0.049286761336685234, 0.3179456874333193], [0.29541988321177404, 0.4065593985566638, -0.4935780692200417, -0.3489937784530484, 0.2695958885705685]]"
Iteration 33,"[[1.305910576372396, 0.9380200239623837, 1.0335588092141255, 0.04311269971387468, 0.3136568804593056], [0.2958047475310876, 0.4103018776015921, -0.495349727509053, -0.34900072272073435, 0.2723686743823618]]"
