Number of Iterations: 245
X Poses,Y Poses
Iteration 1,"[[-1.2, -0.95, -0.95, -0.15000000000000002, -0.35000000000000003], [0.25, 0.3, -0.4, -0.35, 0.2]]"
Iteration 2,"[[-1.2034899548841131, -0.9484905897703172, -0.9519609496647002, -0.143645956586283, -0.3455006709664716], [0.2530486551017677, 0.3046363476790837, -0.4046148245375438, -0.3502337232608937, 0.20196340597710055]]"
Iteration 3,"[[-1.2068974322121693, -0.9470200031755469, -0.954092078891932, -0.1372766421365725, -0.34087843531055195], [0.256178349312984, 0.30910556271647904, -0.4093398422059065, -0.35048170774045845, 0.20392923272122573]]"
Iteration 4,"[[-1.2103138313154835, -0.9456074731528604, -0.9564344820970542, -0.13088979543798618, -0.3361501916031494], [0.2593269996341755, 0.3134845483761523, -0.4141576495556681, -0.35074008957973557, 0.20591682355030386]]"
Iteration 5,"[[-1.2137706532216699, -0.9442510375496357, -0.9585715771416404, -0.12448659188446011, -0.33132418833027355], [0.2624939890421729, 0.3178120512805195, -0.41891671061123636, -0.3510079727453178, 0.2079348166507492]]"
Iteration 6,"[[-1.2173076768309181, -0.9427470436800723, -0.9605398637068934, -0.11806740217860942, -0.32640740487469383], [0.26566549016443286, 0.3220327622051087, -0.4237022436924308, -0.3512838358312122, 0.2099886179355336]]"
Iteration 7,"[[-1.2208389316632209, -0.9410545835050541, -0.9624625283208056, -0.11162920101320678, -0.3214128867194688], [0.26877216285334754, 0.32618555240949754, -0.4285492176642654, -0.35156309725201795, 0.21208599702340644]]"
Iteration 8,"[[-1.2242482364440503, -0.939172768513914, -0.964263762887626, -0.10518065023250062, -0.31634114103633365], [0.27176271087279386, 0.33031451635140646, -0.43326541035028765, -0.35185147342701917, 0.2142253777958888]]"
Iteration 9,"[[-1.2275362495545563, -0.9371254289298657, -0.9658844344880217, -0.09872332449443837, -0.31120367124916876], [0.27464280372165545, 0.3344581035899881, -0.43777420762431984, -0.35214915901594057, 0.2164111164793914]]"
Iteration 10,"[[-1.2307042672356536, -0.934890294321369, -0.9673696237492528, -0.09225545590336162, -0.305999767074736], [0.277418656871404, 0.3386357916777944, -0.44215867772304696, -0.3524535127264825, 0.218639860838587]]"
Iteration 11,"[[-1.2337551090540773, -0.9324863810981926, -0.9687328601602505, -0.08577799364667515, -0.3007359050974767], [0.28009664302345283, 0.3428684416545613, -0.4464580800223432, -0.3527641438625623, 0.2209118455320095]]"
Iteration 12,"[[-1.236641731855765, -0.9299808964806747, -0.9699865568558547, -0.07930477095135621, -0.29540675308964054], [0.28264909445409525, 0.3471736475760643, -0.45059841517928634, -0.353092221547272, 0.22322080094843558]]"
Iteration 13,"[[-1.2394101373901534, -0.9274291291279884, -0.971136277264381, -0.07283084620551102, -0.2900241728885034], [0.28511700579299276, 0.3515595047815585, -0.45462368345465687, -0.35343371610710156, 0.22556888673582987]]"
Iteration 14,"[[-1.242073179115349, -0.9247623656850149, -0.9721899296744705, -0.06634836605048117, -0.2845902827647987], [0.28750521877353347, 0.35602706913126597, -0.45853233325702214, -0.35378152115647016, 0.22795344976626739]]"
Iteration 15,"[[-1.2446445869742992, -0.9221330445279123, -0.9731996200488273, -0.0598594925703821, -0.2791250918706054], [0.2898178239982529, 0.3605758150270073, -0.46232266733835503, -0.35413651708667987, 0.23038019716351624]]"
Iteration 16,"[[-1.2470900633725175, -0.9193814748166819, -0.9740749678304114, -0.05335931884621212, -0.27361714235865664], [0.2920659179862923, 0.365211260177376, -0.4660355727859539, -0.3544936308981486, 0.23284083204929257]]"
Iteration 17,"[[-1.2494611840324332, -0.9166588387268679, -0.9748679247496593, -0.04685014676484853, -0.2680840620946122], [0.2942418952737277, 0.36992231249766083, -0.4696677508322937, -0.35485356423649556, 0.23533966347002222]]"
Iteration 18,"[[-1.2517473917467106, -0.9140363878402891, -0.9756270057617972, -0.040352480390393464, -0.262498753427431], [0.29627611124181097, 0.3746999790878309, -0.47314064531554323, -0.3552330804152141, 0.2378621989391244]]"
Iteration 19,"[[-1.2539512752635453, -0.9114619648118923, -0.9762667762853611, -0.0338448839587116, -0.2568897337601946], [0.2982501513419493, 0.37954795140244, -0.4765281276625273, -0.3556147740850089, 0.24041646159648222]]"
Iteration 20,"[[-1.256029573291266, -0.9088607742648291, -0.9768362094462547, -0.027329330713402364, -0.25125271393015003], [0.300140852173284, 0.38447146694326106, -0.4798324927751171, -0.3559991975764662, 0.24299805393602364]]"
Iteration 21,"[[-1.2579798153973927, -0.9062450175302169, -0.977342743547046, -0.02080875338474327, -0.24559436882998892], [0.30191640492810246, 0.38926008423904407, -0.48302074230315034, -0.3563879418620888, 0.24560685894829792]]"
Iteration 22,"[[-1.2598631891821008, -0.9036201332146251, -0.9777847483009513, -0.014295976806402877, -0.2398937779482548], [0.3036387350394981, 0.39393389108677823, -0.48612621284849744, -0.35679140675982385, 0.24823218320345375]]"
Iteration 23,"[[-1.2616828310605301, -0.9009917505752676, -0.9781614389419757, -0.007782613502421758, -0.2341663500391412], [0.3053091032868673, 0.39850689515952253, -0.4890712094529126, -0.3572031830869298, 0.25087648418308006]]"
Iteration 24,"[[-1.2634419396330012, -0.8984480404942574, -0.9784789755619919, -0.0012622631573057305, -0.2284286512208782], [0.30692861360192314, 0.40293003622507834, -0.49193586731617217, -0.3576176698461614, 0.2535434794146277]]"
Iteration 25,"[[-1.2651430680200124, -0.8958717805508067, -0.9787858399957201, 0.005256396056473697, -0.22266581196075935], [0.3084984549537384, 0.40715371598925104, -0.494706875332961, -0.3580414341516185, 0.2562259715553683]]"
Iteration 26,"[[-1.2667349036374893, -0.8933086067165116, -0.97899464445624, 0.011777228826520991, -0.2168844479444838], [0.3099686252149063, 0.41131518271363143, -0.49737943681956454, -0.3584713079857352, 0.2589239779514687]]"
Iteration 27,"[[-1.2682313778290237, -0.8907642472445301, -0.9791964815001487, 0.018298541688794877, -0.21109040845975396], [0.3113759293581525, 0.41532664452891416, -0.49996424138918993, -0.3589084246884561, 0.26163766150017587]]"
Iteration 28,"[[-1.2696282886291845, -0.8882130837705166, -0.9792537035565437, 0.024824020955574597, -0.20527391197348796], [0.3126706823306654, 0.41921852768484813, -0.5025287461053347, -0.3593495507015349, 0.2643619072486488]]"
Iteration 29,"[[-1.2710014162294097, -0.8857472879301868, -0.9792979008447309, 0.03134584872190584, -0.1994377068911665], [0.31384586255483904, 0.42310172139689406, -0.5049640878658368, -0.35980076604081146, 0.2670955586193284]]"
Iteration 30,"[[-1.2723338569683917, -0.8833286815881729, -0.979246809339314, 0.0378707623664296, -0.19359026312836441], [0.3149825670642121, 0.42679879669888765, -0.5073530690314121, -0.3602567311044487, 0.26983971715924415]]"
Iteration 31,"[[-1.2735746485628991, -0.8808739291198145, -0.9791571689621599, 0.044393880289727905, -0.1877211678274138], [0.3160401537354283, 0.43043192792067153, -0.5096357908349629, -0.36072114738687666, 0.27258940390864417]]"
Iteration 32,"[[-1.2747093239225287, -0.8784355846748605, -0.9790220834689828, 0.05091887917862339, -0.18183423627238715], [0.3170917407313284, 0.4340043117982775, -0.5118704563279887, -0.3611910645834263, 0.275343998587836]]"
